season,player,born,league,team,nation,pos,age,standard__Playing Time_MP,standard__Playing Time_Starts,standard__Playing Time_Min,standard__Performance_Gls,standard__Performance_Ast,standard__Performance_G+A,standard__Performance_G-PK,standard__Performance_PK,standard__Performance_PKatt,standard__Performance_CrdY,standard__Performance_CrdR,shooting__Standard_Gls,shooting__Standard_Sh,shooting__Standard_SoT,shooting__Standard_G/Sh,shooting__Standard_G/SoT,shooting__Standard_PK,shooting__Standard_PKatt,playing_time__Playing Time_MP,playing_time__Playing Time_Min,playing_time__Playing Time_Mn/MP,playing_time__Starts_Starts,playing_time__Starts_Mn/Start,playing_time__Starts_Compl,playing_time__Subs_Subs,playing_time__Subs_Mn/Sub,playing_time__Subs_unSub,playing_time__Team Success_PPM,playing_time__Team Success_onG,playing_time__Team Success_onGA,playing_time__Team Success_+/-,playing_time__Team Success_+/-90,playing_time__Team Success_On-Off,misc__Performance_CrdY,misc__Performance_CrdR,misc__Performance_2CrdY,misc__Performance_Fls,misc__Performance_Fld,misc__Performance_Off,misc__Performance_Crs,misc__Performance_Int,misc__Performance_TklW,misc__Performance_PKwon,misc__Performance_PKcon,misc__Performance_OG,standard__Per 90 Minutes_Gls,standard__Per 90 Minutes_Ast,standard__Per 90 Minutes_G+A,standard__Per 90 Minutes_G-PK,standard__Per 90 Minutes_G+A-PK,shooting__Standard_Sh/90,shooting__Standard_SoT/90,shooting__Standard_SoT%,market_value_eur,tm_position,tm_matched_name,tm_match_score
2324,Florian Lejeune,1991.0,ESP-La Liga,Rayo Vallecano,FRA,DF,32.0,37.0,37.0,3327.0,3.0,1.0,4.0,3.0,0.0,0.0,5.0,0.0,3.0,64.0,21.0,0.046875,0.1428571428571428,0.0,0.0,37,3327.0,90.0,37,90.0,36,0,,0,1.0,29.0,48.0,-19.0,-0.51,-0.51,5.0,0.0,0.0,26.0,13.0,3.0,6.0,23.0,26.0,,,1.0,0.0811541929666366,0.0270513976555455,0.1082055906221821,0.0811541929666366,0.1082055906221821,1.7312894499549143,0.5680793507664562,32.8125,3000000.0,Centre-Back,Florian Lejeune,100.0
2324,José Luis García Vayá,1998.0,ESP-La Liga,Valencia,ESP,MF,24.0,37.0,37.0,3302.0,7.0,1.0,8.0,0.0,7.0,8.0,4.0,0.0,7.0,35.0,12.0,0.2,0.5833333333333334,7.0,8.0,37,3302.0,89.0,37,89.0,34,0,,0,1.32,39.0,43.0,-4.0,-0.11,0.65,4.0,0.0,0.0,51.0,40.0,1.0,145.0,45.0,55.0,,,0.0,0.1907934585099939,0.0272562083585705,0.2180496668685645,0.0,0.0272562083585705,0.9539672925499696,0.3270745003028467,34.285714285714285,400000.0,Goalkeeper,Mario de Luis,85.5
2324,Nemanja Maksimović,1995.0,ESP-La Liga,Getafe,SRB,MF,28.0,37.0,37.0,3265.0,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,34.0,15.0,0.1176470588235294,0.2666666666666666,0.0,0.0,37,3265.0,88.0,37,88.0,29,0,,0,1.14,38.0,52.0,-14.0,-0.39,-1.55,4.0,0.0,0.0,19.0,13.0,1.0,6.0,44.0,42.0,,,0.0,0.1102603369065849,0.0,0.1102603369065849,0.1102603369065849,0.1102603369065849,0.9372128637059725,0.4134762633996937,44.11764705882353,6000000.0,Central Midfield,Nemanja Maksimovic,100.0
2324,Kirian Rodríguez,1996.0,ESP-La Liga,Las Palmas,ESP,MF,27.0,37.0,36.0,3211.0,6.0,2.0,8.0,6.0,0.0,0.0,8.0,0.0,6.0,43.0,14.0,0.1395348837209302,0.4285714285714285,0.0,0.0,37,3211.0,87.0,36,88.0,29,1,45.0,0,1.08,32.0,44.0,-12.0,-0.34,0.52,8.0,0.0,0.0,23.0,37.0,1.0,25.0,26.0,33.0,,,0.0,0.1681719090625973,0.0560573030208657,0.2242292120834631,0.1681719090625973,0.2242292120834631,1.2052320149486142,0.3924011211460604,32.55813953488372,12000000.0,Attacking Midfield,Kirian Rodríguez,100.0
2324,Aleix García,1997.0,ESP-La Liga,Girona,ESP,MF,26.0,37.0,36.0,3199.0,3.0,6.0,9.0,3.0,0.0,0.0,4.0,1.0,3.0,39.0,12.0,0.0769230769230769,0.25,0.0,0.0,37,3199.0,86.0,36,88.0,33,1,18.0,0,2.11,78.0,44.0,34.0,0.96,-1.08,4.0,1.0,0.0,29.0,36.0,1.0,188.0,36.0,30.0,,,0.0,0.0844013754298218,0.1688027508596436,0.2532041262894655,0.0844013754298218,0.2532041262894655,1.0972178805876835,0.3376055017192872,30.76923076923077,25000000.0,Central Midfield,Aleix García,100.0
2324,Mika Mármol,2001.0,ESP-La Liga,Las Palmas,ESP,DF,22.0,36.0,36.0,3178.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,,0.0,0.0,36,3178.0,88.0,36,88.0,33,0,,1,1.08,31.0,44.0,-13.0,-0.37,0.0,6.0,1.0,1.0,23.0,34.0,3.0,5.0,43.0,43.0,,,1.0,0.0,0.0283196979232221,0.0283196979232221,0.0,0.0283196979232221,0.0849590937696664,0.0,0.0,15000000.0,Centre-Back,Mika Mármol,100.0
2324,Carlos Neva,1996.0,ESP-La Liga,Granada,ESP,DF,27.0,36.0,36.0,3146.0,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,,0.0,0.0,36,3146.0,87.0,36,87.0,27,0,,2,0.56,34.0,66.0,-32.0,-0.92,2.04,4.0,0.0,0.0,22.0,44.0,0.0,86.0,31.0,19.0,,,0.0,0.0,0.0572155117609663,0.0572155117609663,0.0,0.0572155117609663,0.1144310235219326,0.0,0.0,2500000.0,Left-Back,Carlos Neva,100.0
2324,Rubén Alcaraz,1991.0,ESP-La Liga,Cádiz,ESP,MF,32.0,36.0,36.0,3134.0,3.0,1.0,4.0,1.0,2.0,2.0,14.0,0.0,3.0,48.0,12.0,0.0625,0.25,2.0,2.0,36,3134.0,87.0,36,87.0,29,0,,0,0.89,26.0,49.0,-23.0,-0.66,1.23,14.0,0.0,0.0,84.0,71.0,1.0,36.0,30.0,65.0,,,0.0,0.0861518825781748,0.0287172941927249,0.1148691767708998,0.0287172941927249,0.0574345883854499,1.3784301212507977,0.3446075303126994,25.0,1500000.0,Central Midfield,Rubén Alcaraz,100.0
2324,Cristhian Mosquera,2004.0,ESP-La Liga,Valencia,ESP,DF,19.0,36.0,33.0,3075.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,36,3075.0,85.0,33,90.0,32,3,35.0,1,1.19,37.0,41.0,-4.0,-0.12,0.14,2.0,0.0,0.0,25.0,27.0,0.0,1.0,33.0,34.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.2634146341463415,0.0585365853658536,22.22222222222222,30000000.0,Centre-Back,Cristhian Mosquera,100.0
2324,Miguel Gutiérrez,2001.0,ESP-La Liga,Girona,ESP,"DF,MF",22.0,35.0,35.0,3032.0,2.0,7.0,9.0,2.0,0.0,0.0,4.0,0.0,2.0,34.0,5.0,0.0588235294117647,0.4,0.0,0.0,35,3032.0,87.0,35,87.0,30,0,,1,2.14,73.0,39.0,34.0,1.01,-0.15,4.0,0.0,0.0,27.0,26.0,6.0,97.0,24.0,17.0,,,0.0,0.0593667546174142,0.2077836411609498,0.2671503957783641,0.0593667546174142,0.2671503957783641,1.0092348284960422,0.1484168865435356,14.705882352941176,25000000.0,Left-Back,Miguel Gutiérrez,100.0
