cluster,rank,player,team,season,pos,age,market_value_eur,distance_to_centroid
0,1,Achraf Hakimi,PSG,2324,"DF,MF",24.0,60000000.0,1.2788070026484437
0,2,Romano Schmid,Werder Bremen,2425,MF,24.0,17000000.0,1.304024999751982
0,3,Florian Sotoca,Lens,2324,"MF,FW",32.0,3000000.0,1.4077229052226914
0,4,Piotr Zieliński,Inter,2425,MF,30.0,10000000.0,1.537762496851552
0,5,Theo Hernández,Milan,2324,DF,25.0,60000000.0,1.5518377248438353
1,1,Mathías Olivera,Napoli,2425,DF,26.0,20000000.0,0.9901887631996862
1,2,Janik Haberer,Union Berlin,2425,MF,30.0,2500000.0,1.0158999947889962
1,3,Mario Hermoso,Atlético Madrid,2324,DF,28.0,25000000.0,1.0413119648756448
1,4,Javier Muñoz,Las Palmas,2425,"MF,DF",29.0,2000000.0,1.0856761890414732
1,5,Nélson Semedo,Wolves,2324,"MF,DF",29.0,12000000.0,1.1052537693562579
2,1,Neal Maupay,Brentford,2324,FW,26.0,12000000.0,1.338677144882599
2,2,Marcus Thuram,Inter,2324,FW,25.0,65000000.0,1.3955767846736495
2,3,Yoane Wissa,Brentford,2324,FW,26.0,28000000.0,1.4219535264661367
2,4,Abdallah Sima,Brest,2425,"FW,MF",23.0,9000000.0,1.5231663936402724
2,5,Raheem Sterling,Chelsea,2324,MF,28.0,35000000.0,1.542701261582656
3,1,Jorge Cuenca,Villarreal,2324,DF,23.0,6000000.0,0.9117846434897118
3,2,Kristoffer Ajer,Brentford,2324,DF,25.0,15000000.0,0.9460681299508692
3,3,Clément Lenglet,Atlético Madrid,2425,DF,29.0,7500000.0,1.0389356218336303
3,4,Abdul Mumin,Rayo Vallecano,2425,DF,26.0,5000000.0,1.0853639073636832
3,5,Adam Masina,Torino,2425,DF,30.0,1500000.0,1.1295914199126738
