algorithm,param,silhouette,davies_bouldin,calinski_harabasz,n_clusters,n_noise
KMeans,4,0.17406002665830225,1.7104516224160402,906.0010972710013,4,0
KMeans,5,0.16966788737185856,1.7644780056307603,787.895078997039,5,0
KMeans,6,0.16120607694149441,1.7592588537337974,716.1137319688416,6,0
KMeans,7,0.16442245622328017,1.6514236464984893,667.6516276835296,7,0
KMeans,8,0.16446571133422544,1.6451067006948605,623.7101876224054,8,0
KMeans,9,0.15951402496475556,1.6838986490720624,575.0668798271404,9,0
KMeans,10,0.146068255935752,1.6665901490753001,535.6341027855444,10,0
GMM,4,0.11456021432257933,1.7818099635785312,688.5314253649899,4,0
GMM,5,0.094509953106197,2.1955635419864357,595.4964601950242,5,0
GMM,6,0.08943890851431005,2.2510465149155694,513.6630904555775,6,0
GMM,7,0.08411716138826164,2.4026738539420953,456.4682550818833,7,0
GMM,8,0.07832171443800044,2.698584792484574,407.82271822896763,8,0
GMM,9,0.059447704490035745,2.6338609087741727,372.5648846289738,9,0
GMM,10,0.04485485193265446,2.4997917506819074,349.951206073978,10,0
HDBSCAN,30,,,,0,2955
HDBSCAN,50,,,,0,2955
HDBSCAN,80,,,,0,2955
HDBSCAN,100,,,,0,2955
