league,season,team,player,nation,pos,age,born,minutes,matches_played,starts,tm_matched_name,tm_match_score,market_value_eur,kmeans_label,gmm_label
ESP-La Liga,2324,Rayo Vallecano,Florian Lejeune,FRA,DF,32.0,1991.0,3327.0,37.0,37.0,Florian Lejeune,100.0,3000000.0,1,1
ESP-La Liga,2324,Valencia,José Luis García Vayá,ESP,MF,24.0,1998.0,3302.0,37.0,37.0,Mario de Luis,85.5,400000.0,3,0
ESP-La Liga,2324,Getafe,Nemanja Maksimović,SRB,MF,28.0,1995.0,3265.0,37.0,37.0,Nemanja Maksimovic,100.0,6000000.0,3,1
ESP-La Liga,2324,Las Palmas,Kirian Rodríguez,ESP,MF,27.0,1996.0,3211.0,37.0,36.0,Kirian Rodríguez,100.0,12000000.0,3,1
ESP-La Liga,2324,Girona,Aleix García,ESP,MF,26.0,1997.0,3199.0,37.0,36.0,Aleix García,100.0,25000000.0,0,0
ESP-La Liga,2324,Las Palmas,Mika Mármol,ESP,DF,22.0,2001.0,3178.0,36.0,36.0,Mika Mármol,100.0,15000000.0,1,2
ESP-La Liga,2324,Granada,Carlos Neva,ESP,DF,27.0,1996.0,3146.0,36.0,36.0,Carlos Neva,100.0,2500000.0,1,2
ESP-La Liga,2324,Cádiz,Rubén Alcaraz,ESP,MF,32.0,1991.0,3134.0,36.0,36.0,Rubén Alcaraz,100.0,1500000.0,1,1
ESP-La Liga,2324,Valencia,Cristhian Mosquera,ESP,DF,19.0,2004.0,3075.0,36.0,33.0,Cristhian Mosquera,100.0,30000000.0,1,2
ESP-La Liga,2324,Girona,Miguel Gutiérrez,ESP,"DF,MF",22.0,2001.0,3032.0,35.0,35.0,Miguel Gutiérrez,100.0,25000000.0,0,0
ESP-La Liga,2324,Celta Vigo,Óscar Mingueza,ESP,"DF,MF",24.0,1999.0,2998.0,38.0,33.0,Óscar Mingueza,100.0,8000000.0,0,0
ESP-La Liga,2324,Barcelona,İlkay Gündoğan,GER,MF,32.0,1990.0,2994.0,36.0,33.0,İlkay Gündoğan,100.0,15000000.0,0,0
ESP-La Liga,2324,Granada,Ignasi Miquel,ESP,DF,30.0,1992.0,2992.0,34.0,33.0,Ignasi Miquel,100.0,1200000.0,1,1
ESP-La Liga,2324,Valencia,Hugo Duro,ESP,FW,23.0,1999.0,2976.0,37.0,35.0,Hugo Duro,100.0,16000000.0,2,3
ESP-La Liga,2324,Girona,Sávio,BRA,"MF,FW",19.0,2004.0,2976.0,37.0,35.0,,83.33333333333334,,0,0
ESP-La Liga,2324,Girona,Daley Blind,NED,DF,33.0,1990.0,2972.0,34.0,33.0,Daley Blind,100.0,3000000.0,1,1
ESP-La Liga,2324,Alavés,Ander Guevara,ESP,MF,26.0,1997.0,2932.0,37.0,33.0,Ander Guevara,100.0,5000000.0,1,1
ESP-La Liga,2324,Real Madrid,Federico Valverde,URU,MF,25.0,1998.0,2904.0,37.0,33.0,Federico Valverde,100.0,120000000.0,1,0
ESP-La Liga,2324,Barcelona,Jules Koundé,FRA,DF,24.0,1998.0,2899.0,35.0,32.0,Jules Koundé,100.0,45000000.0,1,1
ESP-La Liga,2324,Athletic Club,Daniel Vivian,ESP,DF,24.0,1999.0,2878.0,33.0,31.0,Dani Vivian,91.66666666666666,25000000.0,1,2
ESP-La Liga,2324,Rayo Vallecano,Iván Balliu,ALB,DF,31.0,1992.0,2873.0,33.0,32.0,Iván Balliu,100.0,2000000.0,1,2
