league,season,team,player,nation,pos,age,born,tm_position,position_family,minutes,matches_played,starts,goals_p90,assists_p90,goals_assists_p90,non_penalty_goals_p90,np_goals_assists_p90,shots_p90,shots_on_target_p90,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,interceptions_p90,tackles_won_p90,fouls_committed_p90,fouls_drawn_p90,crosses_p90,offsides_p90,attacking_index,creativity_index,defensive_index,discipline_index,tm_matched_name,tm_match_score,market_value_eur
ESP-La Liga,2324,Rayo Vallecano,Florian Lejeune,FRA,DF,32.0,1991.0,Centre-Back,Centre-Back,3327.0,37.0,37.0,0.0811541929666366,0.0270513976555455,0.1082055906221821,0.0811541929666366,0.1082055906221821,1.7312894499549143,0.5680793507664562,32.8125,0.046875,0.1428571428571428,0.6221821460775473,0.7033363390441839,0.7033363390441839,0.35166816952209196,0.1623083859332732,0.0811541929666366,0.9738503155996392,0.07574391343552746,1.3255184851217312,-0.35166816952209196,Florian Lejeune,100.0,3000000.0
ESP-La Liga,2324,Valencia,José Luis García Vayá,ESP,MF,24.0,1998.0,Goalkeeper,Goalkeeper,3302.0,37.0,37.0,0.1907934585099939,0.0272562083585705,0.2180496668685645,0.0,0.0272562083585705,0.9539672925499696,0.3270745003028467,34.285714285714285,0.2,0.5833333333333334,1.2265293761356753,1.499091459721381,1.3900666262870987,1.0902483343428224,3.9521502119927314,0.027256208358570563,0.6950333131435493,1.2129012719563899,2.725620835857056,-0.2998182919442762,Mario de Luis,85.5,400000.0
ESP-La Liga,2324,Getafe,Nemanja Maksimović,SRB,MF,28.0,1995.0,Central Midfield,Central Midfield,3265.0,37.0,37.0,0.1102603369065849,0.0,0.1102603369065849,0.1102603369065849,0.1102603369065849,0.9372128637059725,0.4134762633996937,44.11764705882353,0.1176470588235294,0.2666666666666666,1.212863705972435,1.1577335375191424,0.5237366003062787,0.35834609494640124,0.16539050535987748,0.027565084226646247,0.5788667687595711,0.04961715160796324,2.370597243491577,-0.16539050535987743,Nemanja Maksimovic,100.0,6000000.0
ESP-La Liga,2324,Las Palmas,Kirian Rodríguez,ESP,MF,27.0,1996.0,Attacking Midfield,Attacking Midfield,3211.0,37.0,36.0,0.1681719090625973,0.0560573030208657,0.2242292120834631,0.1681719090625973,0.2242292120834631,1.2052320149486142,0.3924011211460604,32.55813953488372,0.1395348837209302,0.4285714285714285,0.728744939271255,0.9249454998442853,0.6446589847399564,1.037060105886017,0.7007162877608222,0.02802865151043289,0.8268452195577702,0.26627218934911234,1.6536904391155405,0.3924011211460605,Kirian Rodríguez,100.0,12000000.0
ESP-La Liga,2324,Girona,Aleix García,ESP,MF,26.0,1997.0,Central Midfield,Central Midfield,3199.0,37.0,36.0,0.0844013754298218,0.1688027508596436,0.2532041262894655,0.0844013754298218,0.2532041262894655,1.0972178805876835,0.3376055017192872,30.76923076923077,0.0769230769230769,0.25,1.012816505157862,0.8440137542982182,0.8158799624882775,1.012816505157862,5.2891528602688345,0.028133791809940606,0.8018130665833072,1.755548608940294,1.8568302594560802,0.19693654266958438,Aleix García,100.0,25000000.0
ESP-La Liga,2324,Las Palmas,Mika Mármol,ESP,DF,22.0,2001.0,Centre-Back,Centre-Back,3178.0,36.0,36.0,0.0,0.0283196979232221,0.0283196979232221,0.0,0.0283196979232221,0.0849590937696664,0.0,0.0,0.0,,1.2177470106985526,1.2177470106985526,0.6513530522341096,0.9628697293895532,0.14159848961611077,0.08495909376966645,0.0707992448080553,0.07079924480805533,2.4354940213971052,0.3115166771554436,Mika Mármol,100.0,15000000.0
ESP-La Liga,2324,Granada,Carlos Neva,ESP,DF,27.0,1996.0,Left-Back,Full-Back,3146.0,36.0,36.0,0.0,0.0572155117609663,0.0572155117609663,0.0,0.0572155117609663,0.1144310235219326,0.0,0.0,0.0,,0.8868404322949778,0.54354736172918,0.6293706293706294,1.2587412587412588,2.460267005721551,0.0,0.1144310235219326,0.7952956134774316,1.4303877940241576,0.6293706293706294,Carlos Neva,100.0,2500000.0
ESP-La Liga,2324,Cádiz,Rubén Alcaraz,ESP,MF,32.0,1991.0,Central Midfield,Central Midfield,3134.0,36.0,36.0,0.0861518825781748,0.0287172941927249,0.1148691767708998,0.0287172941927249,0.0574345883854499,1.3784301212507977,0.3446075303126994,25.0,0.0625,0.25,0.8615188257817485,1.8666241225271218,2.412252712188896,2.0389278876834718,1.0338225909380983,0.02871729419272495,0.8040842373962986,0.33886407147415437,2.7281429483088706,-0.37332482450542415,Rubén Alcaraz,100.0,1500000.0
ESP-La Liga,2324,Valencia,Cristhian Mosquera,ESP,DF,19.0,2004.0,Centre-Back,Centre-Back,3075.0,36.0,33.0,0.0,0.0,0.0,0.0,0.0,0.2634146341463415,0.0585365853658536,22.22222222222222,0.0,0.0,0.9658536585365854,0.9951219512195123,0.7317073170731708,0.7902439024390244,0.02926829268292683,0.0,0.13170731707317074,0.00878048780487805,1.9609756097560977,0.0585365853658536,Cristhian Mosquera,100.0,30000000.0
ESP-La Liga,2324,Girona,Miguel Gutiérrez,ESP,"DF,MF",22.0,2001.0,Left-Back,Full-Back,3032.0,35.0,35.0,0.0593667546174142,0.2077836411609498,0.2671503957783641,0.0593667546174142,0.2671503957783641,1.0092348284960422,0.1484168865435356,14.705882352941176,0.0588235294117647,0.4,0.7124010554089709,0.5046174142480211,0.8014511873350924,0.7717678100263852,2.879287598944591,0.17810026385224273,0.7717678100263852,1.071569920844327,1.217018469656992,-0.02968337730870718,Miguel Gutiérrez,100.0,25000000.0
