position_family,algorithm,algorithm_note,feature,mean_abs_shap
Attacking Midfield,RandomForest,best overall,age,0.3140941768405044
Attacking Midfield,RandomForest,best overall,goals_p90,0.0202850869944487
Attacking Midfield,RandomForest,best overall,assists_p90,0.13086012630042793
Attacking Midfield,RandomForest,best overall,goals_assists_p90,0.21097135503372838
Attacking Midfield,RandomForest,best overall,non_penalty_goals_p90,0.015830855859430885
Attacking Midfield,RandomForest,best overall,np_goals_assists_p90,0.326001980492703
Attacking Midfield,RandomForest,best overall,shots_p90,0.02620377956518796
Attacking Midfield,RandomForest,best overall,shots_on_target_p90,0.01837581563169827
Attacking Midfield,RandomForest,best overall,shots_on_target_pct,0.01675785839970501
Attacking Midfield,RandomForest,best overall,goals_per_shot,0.01400209154456807
Attacking Midfield,RandomForest,best overall,goals_per_shot_on_target,0.016808423721054965
Attacking Midfield,RandomForest,best overall,interceptions_p90,0.04812435836195744
Attacking Midfield,RandomForest,best overall,tackles_won_p90,0.03129293401875619
Attacking Midfield,RandomForest,best overall,fouls_committed_p90,0.01862078781619839
Attacking Midfield,RandomForest,best overall,fouls_drawn_p90,0.0196107005620857
Attacking Midfield,RandomForest,best overall,crosses_p90,0.019429284778132737
Attacking Midfield,RandomForest,best overall,offsides_p90,0.039685756667229025
Attacking Midfield,RandomForest,best overall,attacking_index,0.03269682061387506
Attacking Midfield,RandomForest,best overall,creativity_index,0.025984095784852692
Attacking Midfield,RandomForest,best overall,defensive_index,0.031085959595407758
Attacking Midfield,RandomForest,best overall,discipline_index,0.019233133404550917
Central Midfield,RandomForest,tree proxy (overall best was LinearRegression),age,0.33023269415726947
Central Midfield,RandomForest,tree proxy (overall best was LinearRegression),goals_p90,0.01901240383376268
Central Midfield,RandomForest,tree proxy (overall best was LinearRegression),assists_p90,0.07725700825558308
Central Midfield,RandomForest,tree proxy (overall best was LinearRegression),goals_assists_p90,0.05726905210338057
Central Midfield,RandomForest,tree proxy (overall best was LinearRegression),non_penalty_goals_p90,0.0867142771051263
