scope,algorithm,n_samples,n_folds,mae_log,rmse_log,r2,mae_eur,rmse_eur,median_abs_error_eur
global,LinearRegression,2934,5,0.7671891988721008,0.9562235537190925,0.37397388018691136,10420466.246436326,18699266.938000925,4992639.927148128
global,RandomForest,2934,5,0.7500276823450757,0.9326843827997033,0.40441604503398865,10107758.152231697,18166692.37815738,5049552.994576129
global,XGBoost,2934,5,0.7574149333439809,0.9487593145416461,0.3837091995095322,10159673.277807293,18028727.247330323,5093206.606982171
global,LightGBM,2934,5,0.768611166271379,0.9608673493763195,0.36787866016569504,10378569.546228407,18127666.680841263,5311748.144992098
Attacking Midfield,LinearRegression,190,5,0.7701526471896847,0.9707298039350285,0.41955322015275176,15318365.229469847,26662705.138471752,6381409.920117236
Attacking Midfield,RandomForest,190,5,0.7601951576034902,0.9572777274573294,0.435529061255569,14691325.534023661,26871225.97824302,6141410.597429074
Attacking Midfield,XGBoost,190,5,0.8164811048637405,1.0256082650467395,0.3520690842011158,15844578.124346446,27963831.984183844,7324477.447795261
Attacking Midfield,LightGBM,190,5,0.8871063969266522,1.0993376099856433,0.2555631705985273,16318119.386306105,26858920.655427225,8281679.737316958
Central Midfield,LinearRegression,482,5,0.7651655913842197,0.9624467246845205,0.30564831257940417,10073440.119613549,18911784.67397106,4800791.324683715
Central Midfield,RandomForest,482,5,0.7924962973472275,0.9982412838875483,0.25304033471061815,10213742.246625036,18861691.545272276,4817094.04971138
Central Midfield,XGBoost,482,5,0.8088083927788933,1.02645117514572,0.2102262587862349,10315687.83000227,18618329.445330083,5087846.821641326
Central Midfield,LightGBM,482,5,0.8227314677905894,1.0301143301054276,0.20457917885094934,10339192.124271125,18237726.107378125,4971961.308583047
Centre-Back,LinearRegression,676,5,0.8354918909611363,1.019600844440923,0.27522425866926425,9985066.727460844,22235638.681478605,4932464.295098599
Centre-Back,RandomForest,676,5,0.821240304460889,0.9972329385189598,0.30667556660022155,9304926.55011254,15123839.569742888,5203469.035845814
Centre-Back,XGBoost,676,5,0.8555972015218758,1.0427076260505328,0.242001448775633,9662079.70983524,15330266.120665904,5837130.540054331
Centre-Back,LightGBM,676,5,0.861071652932072,1.0560265910548103,0.22251327260935427,9907082.362631986,15715037.020224908,5698634.118897652
Defensive Midfield,LinearRegression,279,5,0.825290876085406,1.0167704296848021,0.18757569868689605,11711230.046812173,21304914.427271444,5705254.474874003
Defensive Midfield,RandomForest,279,5,0.7796813278255761,0.9395882839963878,0.3062351751657607,10355321.619625468,17443379.984805975,6060856.497200367
Defensive Midfield,XGBoost,279,5,0.801690965434548,0.9681777174566316,0.2633736377221805,10708687.207565548,17622543.42483424,5991164.861280392
Defensive Midfield,LightGBM,279,5,0.8102666171803887,1.0027993268834445,0.20974881002015677,10798070.824741347,17587340.43795165,5974709.0044359695
Forward,LinearRegression,376,5,0.6457385172342766,0.8102906505522943,0.5524380105489404,11724693.757840846,22669129.194208253,4934367.361434623
Forward,RandomForest,376,5,0.6342844909448777,0.7943090838272915,0.5699186617906575,10861580.032642148,20804799.440159347,4359467.978065133
Forward,XGBoost,376,5,0.6411979716021076,0.8024455291773157,0.5610625226509788,10822853.63849055,20126300.150651954,4789564.888519637
Forward,LightGBM,376,5,0.6731837636356385,0.8328541130701927,0.5271652249570761,11406929.267294716,20116938.07741069,5061349.76104921
Full-Back,LinearRegression,540,5,0.7509335899363216,0.9424548446491284,0.3134972718280238,7353512.367075547,12334348.147435512,3582077.107412932
Full-Back,RandomForest,540,5,0.7502518368707807,0.9411680779727788,0.3153706046282332,7257474.60261482,11974861.609345984,3534504.250944026
Full-Back,XGBoost,540,5,0.7734498346553867,0.9699756201569767,0.27281853242872023,7385985.3795944005,11956792.577041488,3770499.5603880407
Full-Back,LightGBM,540,5,0.799033930449975,1.0088518965306894,0.21336005735532415,7644803.189520869,12311522.720425205,4079241.006196374
Winger,LinearRegression,385,5,0.6494616336616602,0.7981757332047381,0.5472533769327115,12325164.614515882,21531590.412099823,7055975.848777754
Winger,RandomForest,385,5,0.7006445872910189,0.8692461279140637,0.4630378057601954,12511707.747288473,21099441.470883507,6762433.667266138
Winger,XGBoost,385,5,0.7024409060725678,0.8726639625585398,0.45880688430923966,12492525.444116715,20916552.671841506,7347055.007448979
Winger,LightGBM,385,5,0.7515943013329224,0.9353308473496499,0.3782887940656735,13481840.906446801,22125002.65856867,7598080.873657174
