league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,25,1998,6,6,540,6.0,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,27,1995,32,32,2880,32.0,24,0.75,69,45,65.2,23,4,5,14,43.8,3,2,1,0,33.3
ENG-Premier League,2324,Aston Villa,Emiliano Martínez,ARG,GK,30,1992,34,34,3015,33.5,48,1.43,143,95,66.4,19,8,7,7,20.6,1,1,0,0,0.0
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,33,1990,5,4,405,4.5,13,2.89,33,20,60.6,1,0,3,0,0.0,1,0,1,0,100.0
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2,2,180,2.0,7,3.5,12,5,41.7,1,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2324,Bournemouth,Mark Travers,IRL,GK,24,1999,4,4,360,4.0,5,1.25,18,13,72.2,2,0,2,1,25.0,1,1,0,0,0.0
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34,1989,32,32,2880,32.0,55,1.72,167,112,67.1,10,9,13,7,21.9,6,5,1,0,16.7
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30,1993,37,37,3285,36.5,63,1.73,178,115,64.6,10,9,18,7,18.9,2,2,0,0,0.0
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28,1995,2,1,135,1.5,2,1.33,8,6,75.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,20,2002,21,21,1890,21.0,28,1.33,93,65,69.9,7,8,6,4,19.0,3,3,0,0,0.0
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,32,1990,17,17,1530,17.0,34,2.0,77,43,55.8,5,4,8,2,11.8,3,3,0,0,0.0
ENG-Premier League,2324,Burnley,Arijanet Muric,KVX,GK,24,1998,10,10,900,10.0,16,1.6,79,63,79.7,2,4,4,0,0.0,2,1,1,0,50.0
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,20,2002,28,28,2520,28.0,62,2.21,168,106,63.1,3,5,20,2,7.1,5,5,0,0,0.0
ENG-Premier League,2324,Chelsea,Robert Sánchez,ESP,GK,25,1997,16,16,1433,15.9,25,1.57,77,52,67.5,5,4,7,3,18.8,3,2,1,0,33.3
ENG-Premier League,2324,Chelsea,Đorđe Petrović,SRB,GK,23,1999,23,22,1987,22.1,38,1.72,112,74,66.1,13,5,4,4,18.2,2,1,0,1,0.0
ENG-Premier League,2324,Crystal Palace,Dean Henderson,ENG,GK,26,1997,18,18,1620,18.0,30,1.67,87,57,65.5,8,4,6,2,11.1,1,1,0,0,0.0
ENG-Premier League,2324,Crystal Palace,Remi Matthews,ENG,GK,29,1994,1,0,4,0.0,1,22.5,1,0,0.0,0,0,0,0,,0,0,0,0,
ENG-Premier League,2324,Crystal Palace,Sam Johnstone,ENG,GK,30,1993,20,20,1796,20.0,27,1.35,68,41,60.3,5,6,9,6,30.0,2,2,0,0,0.0
ENG-Premier League,2324,Everton,Jordan Pickford,ENG,GK,29,1994,38,38,3420,38.0,51,1.34,172,121,70.3,13,9,16,10,26.3,8,8,0,0,0.0
ENG-Premier League,2324,Fulham,Bernd Leno,GER,GK,31,1992,38,38,3420,38.0,61,1.61,195,134,68.7,13,8,17,10,26.3,8,8,0,0,0.0
ENG-Premier League,2324,Liverpool,Alisson,BRA,GK,30,1992,28,28,2520,28.0,30,1.07,112,82,73.2,16,8,4,7,25.0,1,1,0,0,0.0
ENG-Premier League,2324,Liverpool,Caoimhín Kelleher,IRL,GK,24,1998,10,10,900,10.0,11,1.1,39,28,71.8,8,2,0,2,20.0,0,0,0,0,
ENG-Premier League,2324,Luton Town,James Shea,ENG,GK,32,1991,1,0,15,0.2,0,0.0,2,2,100.0,0,0,0,0,,0,0,0,0,
ENG-Premier League,2324,Luton Town,Thomas Kaminski,BEL,GK,30,1992,38,38,3405,37.8,85,2.25,229,144,62.9,6,8,24,2,5.3,4,4,0,0,0.0
ENG-Premier League,2324,Manchester City,Ederson Moraes,BRA,GK,29,1993,33,33,2785,30.9,27,0.87,84,57,67.9,24,6,3,11,33.3,3,3,0,0,0.0
ENG-Premier League,2324,Manchester City,Stefan Ortega,GER,GK,30,1992,9,5,635,7.1,7,0.99,27,20,74.1,4,1,0,3,60.0,0,0,0,0,
ENG-Premier League,2324,Manchester Utd,André Onana,CMR,GK,27,1996,38,38,3420,38.0,58,1.53,200,148,71.0,18,6,14,9,23.7,7,7,0,0,0.0
ENG-Premier League,2324,Newcastle,Loris Karius,GER,GK,30,1993,1,1,90,1.0,4,4.0,8,4,50.0,0,0,1,0,0.0,0,0,0,0,
ENG-Premier League,2324,Newcastle,Martin Dúbravka,SVK,GK,34,1989,23,22,1985,22.1,42,1.9,129,87,67.4,9,4,9,5,22.7,5,4,1,0,20.0
ENG-Premier League,2324,Newcastle,Nick Pope,ENG,GK,31,1992,15,15,1345,14.9,16,1.07,59,43,72.9,9,2,4,6,40.0,0,0,0,0,
ENG-Premier League,2324,Nottingham,Matt Turner,USA,GK,29,1994,17,17,1530,17.0,28,1.65,83,55,66.3,4,5,8,2,11.8,2,2,0,0,0.0
ENG-Premier League,2324,Nottingham,Matz Sels,BEL,GK,31,1992,16,16,1440,16.0,27,1.69,64,37,57.8,4,4,8,1,6.3,1,1,0,0,0.0
ENG-Premier League,2324,Nottingham,Odysseas Vlachodimos,GRE,GK,29,1994,5,5,450,5.0,12,2.4,22,10,45.5,1,0,4,1,20.0,1,1,0,0,0.0
ENG-Premier League,2324,Sheffield United,Ivo Grbić,CRO,GK,27,1996,9,9,771,8.6,25,2.92,62,37,59.7,0,3,6,0,0.0,1,0,0,1,
ENG-Premier League,2324,Sheffield United,Wes Foderingham,ENG,GK,32,1991,30,29,2649,29.4,79,2.68,212,133,62.7,3,4,22,1,3.4,6,5,0,1,0.0
ENG-Premier League,2324,Tottenham,Guglielmo Vicario,ITA,GK,26,1996,38,38,3420,38.0,61,1.61,171,110,64.3,20,6,12,6,15.8,7,7,0,0,0.0
ENG-Premier League,2324,West Ham,Alphonse Areola,FRA,GK,30,1993,31,31,2699,30.0,53,1.77,189,136,72.0,11,9,11,4,12.9,7,5,2,0,28.6
ENG-Premier League,2324,West Ham,Łukasz Fabiański,POL,GK,38,1985,10,7,721,8.0,21,2.62,54,33,61.1,3,1,3,1,14.3,3,3,0,0,0.0
ENG-Premier League,2324,Wolves,Daniel Bentley,ENG,GK,30,1993,5,3,383,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,
ENG-Premier League,2324,Wolves,José Sá,POR,GK,30,1993,35,35,3037,33.7,58,1.72,192,134,69.8,12,7,16,4,11.4,8,8,0,0,0.0
ESP-La Liga,2324,Alavés,Antonio Sivera,ESP,GK,26,1996,34,34,3060,34.0,38,1.12,125,87,69.6,11,8,15,9,26.5,8,8,0,0,0.0
ESP-La Liga,2324,Alavés,Jesús Owono,EQG,GK,22,2001,4,4,360,4.0,8,2.0,24,16,66.7,1,2,1,1,25.0,0,0,0,0,
ESP-La Liga,2324,Almería,Diego Mariño,ESP,GK,33,1990,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,2,2,0,0,0.0
ESP-La Liga,2324,Almería,Fernando,ESP,GK,33,1990,4,4,360,4.0,10,2.5,23,13,56.5,1,1,2,0,0.0,0,0,0,0,
ESP-La Liga,2324,Almería,Luís Maximiano,POR,GK,24,1999,33,33,2970,33.0,63,1.91,171,112,63.2,2,11,20,3,9.1,7,4,1,2,20.0
ESP-La Liga,2324,Athletic Club,Julen Agirrezabala,ESP,GK,22,2000,4,2,238,2.6,4,1.51,12,8,66.7,1,0,1,1,50.0,0,0,0,0,
ESP-La Liga,2324,Athletic Club,Unai Simón,ESP,GK,26,1997,36,36,3182,35.4,33,0.93,121,91,72.7,18,11,7,15,41.7,5,1,3,1,75.0
ESP-La Liga,2324,Atlético Madrid,Jan Oblak,SVN,GK,30,1993,38,38,3420,38.0,43,1.13,144,101,70.1,24,4,10,11,28.9,2,1,0,1,0.0
ESP-La Liga,2324,Barcelona,Iñaki Peña,ESP,GK,24,1999,10,10,900,10.0,17,1.7,39,22,56.4,6,2,2,2,20.0,0,0,0,0,
ESP-La Liga,2324,Barcelona,Marc-André ter Stegen,GER,GK,31,1992,28,28,2520,28.0,27,0.96,102,75,73.5,20,5,3,12,42.9,2,2,0,0,0.0
ESP-La Liga,2324,Celta Vigo,Iván Villar,ESP,GK,26,1997,12,12,1014,11.3,18,1.6,45,27,60.0,2,4,6,0,0.0,3,2,1,0,33.3
ESP-La Liga,2324,Celta Vigo,Vicente Guaita,ESP,GK,36,1987,27,26,2403,26.7,39,1.46,122,83,68.0,8,7,11,2,7.7,5,4,0,1,0.0
ESP-La Liga,2324,Cádiz,David Gil,ESP,GK,29,1994,5,4,372,4.1,8,1.94,25,17,68.0,0,3,1,1,25.0,0,0,0,0,
ESP-La Liga,2324,Cádiz,Jeremías Ledesma,ARG,GK,30,1993,34,34,3048,33.9,47,1.39,152,105,69.1,6,12,16,7,20.6,2,2,0,0,0.0
ESP-La Liga,2324,Getafe,Daniel Fuzato,BRA,GK,26,1997,1,0,7,0.1,2,25.71,2,0,0.0,0,0,0,0,,0,0,0,0,
