league,season,club,name,position,age,market_value_eur,contract_expiry
ES1,2024,Real Madrid,Thibaut Courtois,Goalkeeper,33,20000000.0,09/08/2018
ES1,2024,Real Madrid,Andriy Lunin,Goalkeeper,26,18000000.0,01/07/2018
ES1,2024,Real Madrid,Fran González,Goalkeeper,20,400000.0,01/07/2026
ES1,2024,Real Madrid,Sergio Mestre,Goalkeeper,20,50000.0,
ES1,2024,Real Madrid,Dean Huijsen,Centre-Back,20,60000000.0,01/06/2025
ES1,2024,Real Madrid,Raúl Asencio,Centre-Back,22,40000000.0,01/07/2024
ES1,2024,Real Madrid,Éder Militão,Centre-Back,27,30000000.0,01/07/2019
ES1,2024,Real Madrid,Antonio Rüdiger,Centre-Back,32,20000000.0,01/07/2022
ES1,2024,Real Madrid,David Alaba,Centre-Back,33,6000000.0,01/07/2021
ES1,2024,Real Madrid,Jacobo Ramón,Centre-Back,20,1000000.0,
ES1,2024,Real Madrid,Diego Aguado,Centre-Back,18,1000000.0,
ES1,2024,Real Madrid,Jesús Vallejo,Centre-Back,28,1000000.0,31/07/2015
ES1,2024,Real Madrid,Víctor Valdepeñas,Centre-Back,18,500000.0,
ES1,2024,Real Madrid,Mario Rivas,Centre-Back,18,300000.0,
ES1,2024,Real Madrid,Fran García,Left-Back,25,18000000.0,01/07/2023
ES1,2024,Real Madrid,Ferland Mendy,Left-Back,30,14000000.0,01/07/2019
ES1,2024,Real Madrid,Youssef Enríquez,Left-Back,19,500000.0,
ES1,2024,Real Madrid,Trent Alexander-Arnold,Right-Back,26,75000000.0,01/06/2025
ES1,2024,Real Madrid,Daniel Carvajal,Right-Back,33,8000000.0,01/07/2013
ES1,2024,Real Madrid,Lucas Vázquez,Right-Back,33,3000000.0,02/07/2015
ES1,2024,Real Madrid,David Jiménez,Right-Back,21,400000.0,
ES1,2024,Real Madrid,Jesús Fortea,Right-Back,18,200000.0,
ES1,2024,Real Madrid,Lorenzo Aguado,Right-Back,22,100000.0,
ES1,2024,Real Madrid,Aurélien Tchouaméni,Defensive Midfield,25,75000000.0,01/07/2022
ES1,2024,Real Madrid,Mario Martín,Defensive Midfield,21,1500000.0,01/07/2024
ES1,2024,Real Madrid,Chema Andrés,Defensive Midfield,20,800000.0,
ES1,2024,Real Madrid,Federico Valverde,Central Midfield,26,130000000.0,01/07/2018
ES1,2024,Real Madrid,Eduardo Camavinga,Central Midfield,22,60000000.0,31/08/2021
ES1,2024,Real Madrid,Dani Ceballos,Central Midfield,28,10000000.0,14/07/2017
ES1,2024,Real Madrid,Luka Modrić,Central Midfield,39,4000000.0,27/08/2012
ES1,2024,Real Madrid,Jude Bellingham,Attacking Midfield,22,180000000.0,01/07/2023
ES1,2024,Real Madrid,Arda Güler,Attacking Midfield,20,45000000.0,06/07/2023
ES1,2024,Real Madrid,Pol Fortuny,Attacking Midfield,20,400000.0,
ES1,2024,Real Madrid,Vinicius Junior,Left Winger,24,170000000.0,12/07/2018
ES1,2024,Real Madrid,Víctor Muñoz,Left Winger,21,1000000.0,01/07/2025
ES1,2024,Real Madrid,Hugo de Llanos,Left Winger,20,200000.0,
ES1,2024,Real Madrid,Rodrygo,Right Winger,24,90000000.0,01/07/2019
ES1,2024,Real Madrid,Brahim Díaz,Right Winger,25,40000000.0,06/01/2019
ES1,2024,Real Madrid,Daniel Yáñez,Right Winger,18,150000.0,
ES1,2024,Real Madrid,Kylian Mbappé,Centre-Forward,26,180000000.0,01/07/2024
ES1,2024,Real Madrid,Endrick,Centre-Forward,18,35000000.0,21/07/2024
ES1,2024,Real Madrid,Gonzalo García,Centre-Forward,21,8000000.0,01/06/2025
ES1,2024,FC Barcelona,Marc ter Stegen,Goalkeeper,33,12000000.0,01/07/2014
ES1,2024,FC Barcelona,Iñaki Peña,Goalkeeper,26,8000000.0,30/01/2022
ES1,2024,FC Barcelona,Wojciech Szczesny,Goalkeeper,35,1000000.0,02/10/2024
ES1,2024,FC Barcelona,Ander Astralaga,Goalkeeper,21,800000.0,
ES1,2024,FC Barcelona,Diego Kochen,Goalkeeper,19,500000.0,01/07/2026
ES1,2024,FC Barcelona,Áron Yaakobishvili,Goalkeeper,19,300000.0,01/07/2025
ES1,2024,FC Barcelona,Pau Cubarsí,Centre-Back,18,80000000.0,01/01/2024
ES1,2024,FC Barcelona,Ronald Araujo,Centre-Back,26,35000000.0,05/10/2020
ES1,2024,FC Barcelona,Eric García,Centre-Back,24,18000000.0,01/07/2021
ES1,2024,FC Barcelona,Andreas Christensen,Centre-Back,29,12000000.0,04/07/2022
ES1,2024,FC Barcelona,Gerard Martín,Centre-Back,23,12000000.0,01/07/2024
ES1,2024,FC Barcelona,Iñigo Martínez,Centre-Back,34,5000000.0,05/07/2023
ES1,2024,FC Barcelona,Sergi Domínguez,Centre-Back,20,1000000.0,
ES1,2024,FC Barcelona,Alexis Olmedo,Centre-Back,19,200000.0,
ES1,2024,FC Barcelona,Andrés Cuenca,Centre-Back,18,200000.0,
ES1,2024,FC Barcelona,Álvaro Cortés,Centre-Back,20,150000.0,01/07/2026
ES1,2024,FC Barcelona,Alejandro Balde,Left-Back,21,60000000.0,01/07/2022
ES1,2024,FC Barcelona,Álex Valle,Left-Back,21,6000000.0,01/07/2023
ES1,2024,FC Barcelona,Jules Koundé,Right-Back,26,65000000.0,28/07/2022
ES1,2024,FC Barcelona,Héctor Fort,Right-Back,18,10000000.0,01/07/2024
ES1,2024,FC Barcelona,Landry Farré,Right-Back,18,300000.0,
ES1,2024,FC Barcelona,Marc Casadó,Defensive Midfield,21,30000000.0,01/07/2024
ES1,2024,FC Barcelona,Marc Bernal,Defensive Midfield,18,5000000.0,01/07/2024
ES1,2024,FC Barcelona,Pedri,Central Midfield,22,140000000.0,02/09/2019
ES1,2024,FC Barcelona,Gavi,Central Midfield,20,60000000.0,01/07/2021
ES1,2024,FC Barcelona,Frenkie de Jong,Central Midfield,28,45000000.0,01/07/2019
ES1,2024,FC Barcelona,Guille Fernández,Central Midfield,17,3000000.0,
ES1,2024,FC Barcelona,Dani Olmo,Attacking Midfield,27,60000000.0,09/08/2024
ES1,2024,FC Barcelona,Fermín López,Attacking Midfield,22,50000000.0,01/07/2023
ES1,2024,FC Barcelona,Pablo Torre,Attacking Midfield,22,6000000.0,01/07/2022
ES1,2024,FC Barcelona,Toni Fernández,Attacking Midfield,16,3000000.0,01/07/2026
ES1,2024,FC Barcelona,Noah Darvich,Attacking Midfield,18,2000000.0,
ES1,2024,FC Barcelona,Raphinha,Left Winger,28,90000000.0,13/07/2022
ES1,2024,FC Barcelona,Ansu Fati,Left Winger,22,5000000.0,23/09/2020
ES1,2024,FC Barcelona,Lamine Yamal,Right Winger,17,200000000.0,01/07/2023
ES1,2024,FC Barcelona,Dani Rodríguez,Right Winger,19,200000.0,
ES1,2024,FC Barcelona,Ferran Torres,Centre-Forward,25,40000000.0,01/01/2022
ES1,2024,FC Barcelona,Robert Lewandowski,Centre-Forward,36,12000000.0,19/07/2022
ES1,2024,FC Barcelona,Pau Víctor,Centre-Forward,23,4000000.0,24/07/2024
ES1,2024,Atlético de Madrid,Jan Oblak,Goalkeeper,32,20000000.0,16/07/2014
ES1,2024,Atlético de Madrid,Juan Musso,Goalkeeper,31,3500000.0,10/06/2025
ES1,2024,Atlético de Madrid,Horațiu Moldovan,Goalkeeper,27,2200000.0,24/01/2024
ES1,2024,Atlético de Madrid,Alejandro Iturbe,Goalkeeper,21,2000000.0,
ES1,2024,Atlético de Madrid,Antonio Gomis,Goalkeeper,22,150000.0,
ES1,2024,Atlético de Madrid,Robin Le Normand,Centre-Back,28,40000000.0,27/07/2024
ES1,2024,Atlético de Madrid,José María Giménez,Centre-Back,30,20000000.0,25/04/2013
ES1,2024,Atlético de Madrid,Clément Lenglet,Centre-Back,30,7500000.0,01/07/2025
ES1,2024,Atlético de Madrid,César Azpilicueta,Centre-Back,35,1500000.0,06/07/2023
ES1,2024,Atlético de Madrid,Ilias Kostis,Centre-Back,22,500000.0,
ES1,2024,Atlético de Madrid,Gerónimo Spina,Centre-Back,20,200000.0,
ES1,2024,Atlético de Madrid,Reinildo Mandava,Left-Back,31,5000000.0,31/01/2022
ES1,2024,Atlético de Madrid,Javi Galán,Left-Back,30,4000000.0,03/07/2023
ES1,2024,Atlético de Madrid,Marcos Llorente,Right-Back,30,25000000.0,01/07/2019
ES1,2024,Atlético de Madrid,Nahuel Molina,Right-Back,27,20000000.0,28/07/2022
ES1,2024,Atlético de Madrid,Santiago Mouriño,Right-Back,23,3000000.0,31/07/2025
ES1,2024,Atlético de Madrid,Carlos Giménez,Right-Back,22,250000.0,
ES1,2024,Atlético de Madrid,Arthur Vermeeren,Defensive Midfield,20,22000000.0,26/01/2024
ES1,2024,Atlético de Madrid,Axel Witsel,Defensive Midfield,36,2000000.0,06/07/2022
ES1,2024,Atlético de Madrid,Pablo Barrios,Central Midfield,22,55000000.0,23/01/2023
ES1,2024,Atlético de Madrid,Conor Gallagher,Central Midfield,25,40000000.0,21/08/2024
ES1,2024,Atlético de Madrid,Rodrigo De Paul,Central Midfield,31,25000000.0,12/07/2021
ES1,2024,Atlético de Madrid,Koke,Central Midfield,33,8000000.0,01/01/2011
ES1,2024,Atlético de Madrid,Javi Serrano,Central Midfield,22,700000.0,01/07/2022
ES1,2024,Atlético de Madrid,Aitor Gismera,Central Midfield,21,250000.0,
