league,season,club,name,position,age,market_value_eur,contract_expiry
FR1,2023,Paris Saint-Germain,Gianluigi Donnarumma,Goalkeeper,25,40000000.0,14/07/2021
FR1,2023,Paris Saint-Germain,Arnau Tenas,Goalkeeper,23,5000000.0,30/07/2023
FR1,2023,Paris Saint-Germain,Keylor Navas,Goalkeeper,37,1500000.0,02/09/2019
FR1,2023,Paris Saint-Germain,Sergio Rico,Goalkeeper,30,1500000.0,05/09/2020
FR1,2023,Paris Saint-Germain,Alexandre Letellier,Goalkeeper,33,250000.0,25/09/2020
FR1,2023,Paris Saint-Germain,Louis Mouquet,Goalkeeper,19,,
FR1,2023,Paris Saint-Germain,Marquinhos,Centre-Back,30,50000000.0,19/07/2013
FR1,2023,Paris Saint-Germain,Lucas Beraldo,Centre-Back,20,30000000.0,01/01/2024
FR1,2023,Paris Saint-Germain,Milan Škriniar,Centre-Back,29,30000000.0,06/07/2023
FR1,2023,Paris Saint-Germain,Presnel Kimpembe,Centre-Back,28,12000000.0,01/07/2015
FR1,2023,Paris Saint-Germain,Danilo Pereira,Centre-Back,32,8000000.0,01/07/2021
FR1,2023,Paris Saint-Germain,Joane Gadou,Centre-Back,17,500000.0,
FR1,2023,Paris Saint-Germain,Nuno Mendes,Left-Back,22,55000000.0,01/07/2022
FR1,2023,Paris Saint-Germain,Lucas Hernández,Left-Back,28,40000000.0,09/07/2023
FR1,2023,Paris Saint-Germain,Layvin Kurzawa,Left-Back,31,1800000.0,27/08/2015
FR1,2023,Paris Saint-Germain,Serif Nhaga,Left-Back,18,,
FR1,2023,Paris Saint-Germain,Achraf Hakimi,Right-Back,25,60000000.0,06/07/2021
FR1,2023,Paris Saint-Germain,Nordi Mukiele,Right-Back,26,10000000.0,26/07/2022
FR1,2023,Paris Saint-Germain,Yoram Zague,Right-Back,18,2500000.0,01/07/2024
FR1,2023,Paris Saint-Germain,Vitinha,Defensive Midfield,24,50000000.0,01/07/2022
FR1,2023,Paris Saint-Germain,Manuel Ugarte,Defensive Midfield,23,45000000.0,07/07/2023
FR1,2023,Paris Saint-Germain,Warren Zaïre-Emery,Central Midfield,18,60000000.0,01/07/2022
