league,season,club,name,position,age,market_value_eur,contract_expiry
IT1,2023,Inter Milan,Yann Sommer,Goalkeeper,35,5000000.0,07/08/2023
IT1,2023,Inter Milan,Emil Audero,Goalkeeper,27,5000000.0,10/08/2023
IT1,2023,Inter Milan,Raffaele Di Gennaro,Goalkeeper,30,300000.0,13/07/2023
IT1,2023,Inter Milan,Alessandro Calligaris,Goalkeeper,19,150000.0,
IT1,2023,Inter Milan,Alessandro Bastoni,Centre-Back,25,70000000.0,31/08/2017
IT1,2023,Inter Milan,Benjamin Pavard,Centre-Back,28,50000000.0,30/08/2023
IT1,2023,Inter Milan,Yann Bisseck,Centre-Back,23,16000000.0,12/07/2023
IT1,2023,Inter Milan,Stefan de Vrij,Centre-Back,32,7000000.0,01/07/2018
IT1,2023,Inter Milan,Francesco Acerbi,Centre-Back,36,3500000.0,01/07/2023
IT1,2023,Inter Milan,Giacomo Stabile,Centre-Back,19,50000.0,
IT1,2023,Inter Milan,Federico Dimarco,Left-Back,26,50000000.0,05/07/2018
IT1,2023,Inter Milan,Carlos Augusto,Left-Back,25,22000000.0,01/07/2024
IT1,2023,Inter Milan,Matteo Motta,Left-Back,19,100000.0,
IT1,2023,Inter Milan,Denzel Dumfries,Right-Back,28,24000000.0,14/08/2021
IT1,2023,Inter Milan,Matteo Darmian,Right-Back,34,4000000.0,01/07/2021
IT1,2023,Inter Milan,Hakan Çalhanoğlu,Defensive Midfield,30,45000000.0,01/07/2021
IT1,2023,Inter Milan,Kristjan Asllani,Defensive Midfield,22,18000000.0,01/07/2023
IT1,2023,Inter Milan,Lucien Agoumé,Defensive Midfield,22,6000000.0,05/07/2019
IT1,2023,Inter Milan,Aleksandar Stanković,Defensive Midfield,18,1000000.0,29/06/2026
IT1,2023,Inter Milan,Nicolò Barella,Central Midfield,27,80000000.0,01/09/2020
IT1,2023,Inter Milan,Davide Frattesi,Central Midfield,24,35000000.0,01/07/2024
IT1,2023,Inter Milan,Henrikh Mkhitaryan,Central Midfield,35,6000000.0,01/07/2022
IT1,2023,Inter Milan,Davy Klaassen,Central Midfield,31,4000000.0,01/09/2023
IT1,2023,Inter Milan,Stefano Sensi,Central Midfield,28,3000000.0,01/09/2020
IT1,2023,Inter Milan,Ebenezer Akinsanmiro,Central Midfield,19,1800000.0,01/07/2024
IT1,2023,Inter Milan,Issiaka Kamate,Central Midfield,19,1000000.0,01/07/2024
IT1,2023,Inter Milan,Juan Cuadrado,Right Midfield,36,1000000.0,19/07/2023
IT1,2023,Inter Milan,Tommaso Guercio,Right Midfield,19,300000.0,
IT1,2023,Inter Milan,Tajon Buchanan,Right Winger,25,8000000.0,05/01/2024
IT1,2023,Inter Milan,Joaquín Correa,Second Striker,29,6000000.0,01/07/2022
IT1,2023,Inter Milan,Alexis Sánchez,Second Striker,35,2500000.0,26/08/2023
IT1,2023,Inter Milan,Lautaro Martínez,Centre-Forward,26,110000000.0,04/07/2018
IT1,2023,Inter Milan,Marcus Thuram,Centre-Forward,26,65000000.0,01/07/2023
IT1,2023,Inter Milan,Marko Arnautovic,Centre-Forward,35,4000000.0,01/07/2024
IT1,2023,Inter Milan,Amadou Sarr,Centre-Forward,20,150000.0,
IT1,2023,AC Milan,Mike Maignan,Goalkeeper,28,38000000.0,01/07/2021
IT1,2023,AC Milan,Marco Sportiello,Goalkeeper,32,1500000.0,01/07/2023
IT1,2023,AC Milan,Noah Raveyre,Goalkeeper,19,200000.0,
IT1,2023,AC Milan,Lapo Nava,Goalkeeper,20,150000.0,01/07/2023
IT1,2023,AC Milan,Antonio Mirante,Goalkeeper,40,100000.0,13/10/2021
IT1,2023,AC Milan,Andrea Bartoccioni,Goalkeeper,20,50000.0,
IT1,2023,AC Milan,Lorenzo Torriani,Goalkeeper,19,10000.0,01/07/2024
IT1,2023,AC Milan,Fikayo Tomori,Centre-Back,26,40000000.0,01/07/2021
IT1,2023,AC Milan,Malick Thiaw,Centre-Back,22,25000000.0,29/08/2022
IT1,2023,AC Milan,Pierre Kalulu,Centre-Back,24,20000000.0,01/09/2020
IT1,2023,AC Milan,Matteo Gabbia,Centre-Back,24,8000000.0,01/07/2017
IT1,2023,AC Milan,Jan-Carlo Simić,Centre-Back,19,5000000.0,01/07/2024
IT1,2023,AC Milan,Filippo Terracciano,Centre-Back,21,4500000.0,08/01/2024
IT1,2023,AC Milan,Marco Pellegrino,Centre-Back,21,3500000.0,22/08/2023
IT1,2023,AC Milan,Simon Kjaer,Centre-Back,35,1500000.0,01/09/2020
IT1,2023,AC Milan,Mattia Caldara,Centre-Back,30,800000.0,02/08/2018
IT1,2023,AC Milan,Clinton Nsiala,Centre-Back,20,200000.0,
IT1,2023,AC Milan,Theo Hernández,Left-Back,26,60000000.0,06/07/2019
IT1,2023,AC Milan,Davide Bartesaghi,Left-Back,18,1000000.0,01/07/2025
IT1,2023,AC Milan,Davide Calabria,Right-Back,27,13000000.0,01/07/2015
IT1,2023,AC Milan,Álex Jiménez,Right-Back,19,4000000.0,01/07/2024
IT1,2023,AC Milan,Alessandro Florenzi,Right-Back,33,2000000.0,01/07/2022
IT1,2023,AC Milan,Ismaël Bennacer,Defensive Midfield,26,30000000.0,04/08/2019
IT1,2023,AC Milan,Yacine Adli,Defensive Midfield,23,15000000.0,30/08/2021
IT1,2023,AC Milan,Rade Krunic,Defensive Midfield,30,6000000.0,08/07/2019
IT1,2023,AC Milan,Victor Eletu,Defensive Midfield,19,400000.0,
IT1,2023,AC Milan,Tijjani Reijnders,Central Midfield,25,30000000.0,19/07/2023
