league,season,club,name,position,age,market_value_eur,contract_expiry
L1,2023,Bayern Munich,Manuel Neuer,Goalkeeper,38,4000000.0,01/07/2011
L1,2023,Bayern Munich,Daniel Peretz,Goalkeeper,23,3000000.0,25/08/2023
L1,2023,Bayern Munich,Sven Ulreich,Goalkeeper,35,700000.0,01/07/2021
L1,2023,Bayern Munich,Max Schmitt,Goalkeeper,18,500000.0,
L1,2023,Bayern Munich,Tom Ritzy Hülsmann,Goalkeeper,20,250000.0,
L1,2023,Bayern Munich,Matthijs de Ligt,Centre-Back,24,65000000.0,19/07/2022
L1,2023,Bayern Munich,Benjamin Pavard,Centre-Back,28,50000000.0,01/07/2019
L1,2023,Bayern Munich,Dayot Upamecano,Centre-Back,25,45000000.0,05/07/2021
L1,2023,Bayern Munich,Min-jae Kim,Centre-Back,27,45000000.0,18/07/2023
L1,2023,Bayern Munich,Eric Dier,Centre-Back,30,12000000.0,01/07/2024
L1,2023,Bayern Munich,Tarek Buchmann,Centre-Back,19,500000.0,01/07/2023
L1,2023,Bayern Munich,Alphonso Davies,Left-Back,23,50000000.0,01/01/2019
L1,2023,Bayern Munich,Raphaël Guerreiro,Left-Back,30,12000000.0,01/07/2023
L1,2023,Bayern Munich,Frans Krätzig,Left-Back,21,2000000.0,06/10/2023
L1,2023,Bayern Munich,Adam Aznou,Left-Back,18,900000.0,01/07/2024
L1,2023,Bayern Munich,Matteo Pérez Vinlöf,Left-Back,18,600000.0,
L1,2023,Bayern Munich,Konrad Laimer,Right-Back,27,30000000.0,01/07/2023
L1,2023,Bayern Munich,Noussair Mazraoui,Right-Back,26,30000000.0,01/07/2022
L1,2023,Bayern Munich,Sacha Boey,Right-Back,23,18000000.0,28/01/2024
L1,2023,Bayern Munich,Bouna Sarr,Right-Back,32,1500000.0,05/10/2020
L1,2023,Bayern Munich,Max Scholze,Right-Back,19,700000.0,
L1,2023,Bayern Munich,Joshua Kimmich,Defensive Midfield,29,50000000.0,02/07/2015
L1,2023,Bayern Munich,Ryan Gravenberch,Defensive Midfield,22,35000000.0,01/07/2022
L1,2023,Bayern Munich,Aleksandar Pavlovic,Defensive Midfield,20,30000000.0,01/11/2023
L1,2023,Bayern Munich,Noël Aséko,Defensive Midfield,18,750000.0,02/07/2026
L1,2023,Bayern Munich,Luca Denk,Defensive Midfield,21,250000.0,
L1,2023,Bayern Munich,Leon Goretzka,Central Midfield,29,30000000.0,01/07/2018
L1,2023,Bayern Munich,Taichi Fukui,Central Midfield,19,700000.0,
L1,2023,Bayern Munich,Jamal Musiala,Attacking Midfield,21,120000000.0,01/07/2020
L1,2023,Bayern Munich,Lovro Zvonarek,Attacking Midfield,19,3000000.0,01/07/2024
